hotel_name,hotel_id,n_reviews
Padma Resort Legian,307610,4065
Nusa Dua Beach Hotel & Spa,302385,3726
Melia Bali Indonesia,302653,3476
INTERCONTINENTAL Bali Resort,299128,2990
Pullman Bali Legian Nirwana,1391615,2918
Conrad Bali,320013,2874
Hard Rock Hotel Bali,302343,2864
AYANA Resort and Spa,302249,2712
Club Med Bali,669122,2710
"The Laguna, a Luxury Collection Resort & Spa",301787,2466
W Retreat & Spa Bali - Seminyak,1456498,2444
Novotel Bali Benoa,299568,2440
Grand Hyatt Bali,307570,2432
Ayodya Resort Bali,303033,2259
Novotel Bali Nusa Dua Hotel & Residences,649857,2229
Grand Mirage Resort,308406,2125
The Royal Beach Seminyak Bali - MGallery Collection,534638,2096
Sofitel Bali Nusa Dua Beach Resort,5039960,2077
Prama Sanur Beach Bali,545823,1953
Bali Mandira Beach Resort & Spa,1095744,1846
Mercure Resort Sanur,1486466,1790
Puri Santrian,307577,1753
The ONE Legian,2082181,1637
Legian Beach Hotel,307581,1618
All Seasons Legian Bali,578319,1590
Discovery Kartika Plaza Hotel,307616,1518
Maya Ubud Resort & Spa,307574,1512
Bali Dynasty Resort,307575,1507
The Samaya Bali Seminyak,603376,1476
Grand Aston Bali Beach Resort,306838,1473
Febri's Hotel & Spa,588475,1430
The Westin Resort Nusa Dua,304528,1426
Komaneka at Bisma,1168205,1425
Alila Ubud,301648,1424
Pan Pacific Nirwana Bali Resort,301923,1415
Komaneka at Tanggayuda,626311,1409
Amadea Resort & Villas,2169346,1404
Courtyard by Marriott Bali Nusa Dua,2038714,1373
Sol Beach House Benoa Bali by Melia Hotel International,302638,1342
The St. Regis Bali Resort,1146351,1337
Ramayana Resort & Spa,304646,1330
Grand Inna Kuta,308408,1319
Tegal Sari,550019,1317
The Oberoi Bali,302392,1300
The Breezes Bali Resort & Spa,614962,1294
The Seminyak Beach Resort & Spa,1772090,1291
"The Stones Hotel - Legian Bali, Autograph Collection",3528272,1269
The Haven Bali,1450614,1257
Bali Garden Beach Resort,1197452,1236
Rama Beach Resort and Villas,320028,1202
Four Seasons Resort Bali at Jimbaran Bay,307571,1196
Holiday Inn Resort(R) Baruna Bali,1197076,1194
Hanging Gardens of Bali,583286,1188
The Legian Bali,301649,1176
Jayakarta Bali,309124,1176
Griya Santrian,325334,1172
Grand Nikko Bali,301929,1157
Alaya Resort Ubud,3580843,1136
Kuta Paradiso Hotel,308413,1124
Mercure Kuta Bali,299592,1118
Kuta Seaview Boutique Resort & Spa,1461739,1115
Mulia Resort,3633245,1113
Kupu Kupu Barong Villas and Tree Spa,309153,1106
Hotel Tjampuhan & Spa,309357,1084
Double-Six Luxury Hotel Seminyak,6556373,1071
Anantara Seminyak Bali Resort,758191,1057
"Uma by COMO, Ubud",506292,1025
The Samaya Bali Ubud,1810099,1013
Four Seasons Resort Bali at Sayan,301883,999
The Magani Hotel and Spa,3319080,994
The Royal Pita Maha,550908,990
Courtyard Bali Seminyak,6635852,982
The Villas Bali Hotel & Spa,309355,972
"The Chedi Club Tanah Gajah, Ubud, Bali  a GHM hotel",518441,934
Segara Village Hotel,658058,933
RIMBA Jimbaran Bali by AYANA,5039579,921
Sheraton Bali Kuta Resort,3435738,920
EDEN Hotel Kuta Bali - Managed by Tauzia,4107186,915
The Mansion Resort Hotel & Spa,500134,905
The Trans Resort Bali,7368654,898
Alila Manggis,301647,891
Ramada Bintang Bali Resort,307567,891
Komaneka at Monkey Forest,307569,890
Sanur Paradise Plaza Suites,501706,887
KajaNe Mua Private Villa & Mansion,567269,886
Grand Istana Rama Hotel Bali,545815,881
Radisson Bali Legian Camakila,1515579,880
Belmond Jimbaran Puri,301739,875
Bliss Surfer Hotel,2545307,871
Swiss-Belresort Watu Jimbar,5292367,870
The Kuta Beach Heritage Hotel Bali - Managed by Accor,3947950,867
Rama Candidasa Resort & Spa,545820,861
Pelangi Bali Hotel,312457,856
Primera Hotel Seminyak,2350844,849
Komaneka at Rasa Sayang,2314151,847
Wapa di Ume Resort and Spa,309331,821
Hotel Vila Lumbung,450866,812
Vasanti Seminyak Resort,3785224,810
Uma Sapna,590208,809
The Ubud Village Resort & Spa,610805,793
Puri Sunia Resort,2280611,790
Saren Indah Hotel,736575,780
"Banyan Tree Ungasan, Bali",887047,766
Ossotel,3746546,760
Junjungan Ubud Hotel and Spa,609896,753
FuramaXclusive Ocean Beach,1079093,743
Bali Niksoma Boutique Beach Resort,566653,738
U Paasha Seminyak,2534828,733
Viceroy Bali,603335,729
Sri Ratih Cottages,1163517,724
Aston Kuta Hotel & Residence,1532058,721
Mutiara Bali Boutique Resort & Villas,601734,719
Villa Seminyak Estate & Spa,648252,718
Alila Villas Uluwatu,1238730,714
The Mulia,3554169,714
Melasti Legian Beach Resort & Spa,1116226,714
Hotel Horison Seminyak,3567390,710
Legian Paradiso Hotel,504968,695
Patra Jasa Bali Resort & Villas,307566,685
Fairmont Sanur Beach Bali,3396712,683
HARRIS Resort Kuta Beach,597723,680
Centra Taum Seminyak Bali,2515034,677
Villa Semana,1015926,673
"White Rose Kuta Resort, Villas & Spa",450871,671
Le Meridien Bali Jimbaran,3477476,669
Bali Tropic Resort and Spa,312451,668
Swiss-Belinn Legian,5287480,658
Wina Holiday Villa Hotel,450873,651
Harper Kuta,4587462,650
Furama Villas & Spa Ubud,662124,638
Keraton Jimbaran Beach Resort,308412,635
The Vira Bali Hotel,505558,629
The Damai,309351,625
Hotel Kumala Pantai,1379777,623
Ayung Resort Ubud,3675999,619
"Komune Resort, Keramas Beach Bali",3525079,619
Alam KulKul Boutique Resort,308723,614
Radisson Bali Tanjung Benoa,307562,609
BEST WESTERN Kuta Beach,2334970,608
Bali Rani Hotel,309109,605
The Akmani Legian,3136074,604
Grandmas Seminyak Hotel,2479267,602
Karma Kandara,1147233,597
Risata Bali Resort & Spa,308415,595
"Tune Hotel - Double Six, Legian",1546444,595
The Lovina,3441854,581
Kuta Lagoon Resort & Pool Villa,614746,578
The Oasis Lagoon Sanur,2218715,571
Sanur Paradise Plaza Hotel,306831,566
Taman Sari Bali Resort & Spa,1498492,565
Hotel Tugu Bali,304280,561
Sudamala Suites & Villas,2490996,561
Ananta Legian Hotel,2411013,561
Grand Balisani Suites,450831,554
Ize Seminyak,3617224,553
Harris Hotel Seminyak,6603127,552
Kuta Central Park Hotel,2135927,552
Pita Maha Resort and Spa,302985,550
Amarterra Villas Bali Nusa Dua - MGallery Collection,3515952,548
Sense Hotel Seminyak,2554706,547
Champlung Sari Hotel,530151,542
The Ulin Villas & Spa,618797,540
The Bale,325383,540
Adi Assri Beach Resort & Spa Pemuteran,1101456,540
Mercure Bali Legian,7159969,537
The Kayana Bali,814073,535
Alila Villas Soori,1605219,531
Alam Shanti,587052,529
Adhi Jaya Hotel,588440,522
Fontana Hotel Bali,3405826,521
Hotel Santika Premiere Beach Resort Bali,308407,521
The Kunja Villas & Spa,627082,519
Inna Grand Bali Beach Hotel,306836,515
Ramada Encore Bali Seminyak,7244303,514
The Menjangan,1372807,511
Puri Saron Seminyak,1459353,505
Kamandalu Ubud,307583,504
Warwick Ibah Luxury Villas & Spa,301951,501
Pertiwi Resort & Spa,479525,499
Satriya Cottages,634101,497
The Kayon Resort,7022088,496
Semara Resort & Spa Seminyak,2066666,493
Kayumanis Nusa Dua Private Villa & Spa,572368,491
The Amala,1546096,489
La Villa Mathis,614389,489
Kayumanis Ubud Private Villa & Spa,500126,487
TS Suites Leisure Seminyak Bali,5992124,486
HARRIS Hotel Tuban,1023886,485
Ibis Styles Bali Kuta Circle,3543041,485
Kuta Puri Bungalows,629607,480
Anantara Uluwatu Bali Resort,2151983,477
Alam Jiwa,488088,475
Blue Karma Hotel,2298018,474
Candi Beach Resort & Spa,307576,472
Dewi Sri Hotel,588465,470
Puri Raja,1197843,469
Asana Agung Putra Bali,6507066,468
Green Garden Hotel,308783,467
Nandini Jungle Resort & Spa Ubud,603743,464
Sun Island Hotel Kuta,2283141,462
L Hotel Seminyak,3202781,461
Puri Bagus Candidasa,309677,461
Kenanga Boutique Hotel,3156092,460
"Matahari Tulamben Resort, Dive & SPA",1050153,459
favehotel Umalas,2182433,459
Hotel Terrace At Kuta,5542199,456
Atanaya Hotel,3535072,454
Le Jardin Villas,817602,454
Bulgari Resort Bali,601550,453
Swasti Eco Cottages,1595751,453
Ubud Bungalow,1180322,452
Mercure Bali Nusa Dua,3485198,451
Nefatari Exclusive Villas,617595,449
Ida Hotel,629605,438
BEST WESTERN Kuta Villa,3252642,436
Sankara Resort,5279694,435
Mara River Safari Lodge,1023252,435
Batu Karang Lembongan Resort & Day Spa,657670,434
Bambu Indah,1028670,434
BEST WESTERN Resort Kuta,1656827,434
Peppers Seminyak,673618,432
Zen Resort Bali,1082544,431
Rambutan Boutique Hotel,309340,430
Villa Coco,631859,429
The Club Villas,1081966,429
Spa Village Resort Tembok Bali,672606,429
"Desa Seni, A Village Resort",677173,429
Jamahal Private Resort & SPA,609918,425
The Purist Villas and Spa,1492794,422
Baleka Resort Hotel & Spa,613426,422
"The Ritz-Carlton, Bali",6820858,421
HARRIS Hotel & Residences Riverview Kuta,1444432,420
Club Bali Mirage,307563,420
Bebek Tepi Sawah Villas & Spa,624043,419
Matahari Beach Resort & Spa,304278,419
Peneeda View Beach Hotel,1464184,417
Rama Garden Hotel Bali,312459,416
Grand Barong Resort,584355,412
Kayumanis Jimbaran Private Estate & Spa,651426,411
Champlung Mas Hotel,673608,410
Bounty Hotel,308771,408
The Dipan Resort Petitenget,2663787,404
Bloo Lagoon Village,1389152,404
Kuta Beach Club Hotel,307582,403
POP! Hotel Kuta Beach,3378026,399
The Kana Kuta,5598347,397
Gending Kedis Villas & Spa Estate,1008418,395
Dusun Villas Bali,607687,393
Villa Kubu,629965,391
Puri Wirata Dive Resort and Spa Amed,1156884,390
Taksu Sanur Hotel,4762309,389
Tamukami Hotel,309347,389
The Oasis Kuta,584502,387
Balisani Padma,535671,387
Puri Bagus Lovina,307557,386
The Lokha Legian,597726,384
Bintang Kuta Hotel,3675836,382
Tandjung Sari,309350,381
Kokonut Suites,1204264,379
eqUILIBRIA SEMINYAK,8610086,376
Grand Mega Resort & Spa Bali,3179531,376
Blue Moon Villas,317482,371
Citadines Kuta Beach Bali,6960687,370
The Bene Hotel,4839159,369
Baliku Dive Resort,1154332,368
Aston Tuban Inn Bali,605545,366
Swastika Bungalows,609387,366
Kuta Station Hotel,1908897,362
Samabe Bali Suites & Villas,3973293,361
Maca Villas & Spa,2276325,361
Ellie's,587612,359
Hotel La Taverna,557517,358
Kupu Kupu Jimbaran & Bamboo Spa by L'Occitane,2091252,357
Ananda Cottages,308742,357
Bali Spirit Hotel and Spa,308405,357
The Royal Eighteen Resort and Spa,2549283,356
Kind Villa Bintang Resort & Spa,629711,355
Alam Indah,674334,355
Bisma Eight,7376123,352
Besakih Beach Hotel,539552,352
"La Joya, Villa & Bungalows",620516,351
Villa Sarna Ubud,1210878,350
Amori Villas,1482678,349
Natura Resort and Spa,596461,349
Indiana Kenanga Villas,1554885,348
Pondok Ayu,783737,348
Sri Phala Resort & Villa,582157,348
Ibis Styles Bali Benoa,2625517,347
Bakung Sari Resort and Spa,1153745,347
The Payogan Villa Resort & Spa,530530,346
Bali Agung Village,653390,345
Amankila,307592,342
Santi Mandala,597761,342
Cendana Resort and Spa,555420,341
