"city_name","hotel_name","hotel_star","review_reviewername","review_reviewerloc","review_quote","review_text"
"Lombok","7SEAS Cottages","3","aussiegirl1976","
Brisbane, Australia
","Very average","I was recommended the Dive shop by a friend of a dive buddy, so for convenience I thought I would stay at the attached resort. It was OK but nothing spectacular.The arrangements were made through the Sales team online and Chloe was quite efficient. I did not receive a voucher,m as I had been told I would, so I emailed across and Oceane was quite quick to respond.That was basically the end of the service from the hotel.I was supposed to be collected at 10am from my hotel on Bali for a transfer to Gili Air, this was reserved and paid for through the package I purchased. When the transfer did not arrive I called the transfer company, they said nothing had been booked. I then called the hotel. The hotel said it had been booked. That was it. The guy on the phone would/could not understand that the transfer company was saying there was not booking. He did not offer to call the transfer company, just kept saying that a booking had been made. This was quite frustrating as there was no offer of assistance from him, just ""it has been booked"". Then why did they not pick me up!! Finally with the help of the staff in Bali I was able to arrange my transfer.I arrived on the island and found my way to the hotel. I did not see any signs pointing to the hotel from the Jetty, which might be useful to other guests. Although it was not specified in my package a meet and greet would be nice - especially when the hotel knows you are arriving. Some of the other hotels did this and I thought it was nice. I arrived at the hotel and greeted. I expected to settle the bill on arrival and I was informed by the lady that the Credit Card machine was not working so I had to pay cash. Ummmm..no I did not have or want to have that much cash. After she insisted again and I refused she said that maybe the machine in the Dive Shop was working, so we walked over and I settled there. It certainly did appear to be an effort for the staff member.I was shown to my room, bag was dumped and that was about it. The porter did not really explain anything about the room, but maybe he picked up that I was tired.The rest of the stay was just Blah. Nothing of note but nothing spectacular either.I did not eat in the restaurant except for breakfast as it did not appear to be very inviting, there was either VERY high seating at the bar or the couch type seating facing the ocean. I did not see a normal table and chair anywhere.The last comment I have is about the lack of communication between each department at the resort, 2 weeks prior to my arrival I emailed to say that my traveling companion was not able to come. OK, I was within the cancellation period so I have to pay. I did pay so no huge quibble there but 14 days in advance is a bit on the strict side, especially in shoulder season. It was not so much the paying but the fact that this information was not passed along to ANYONE in the chain. The transfer company (after finally being sorted) was expecting 2 people, reception was still expecting 2 people and the fact that I had specifically booked in for certain days for diving was also not passed onto the dive shop. This was the most frustrating part of my trip.Overall it was just Blah. I do plan on returning to Gili Air as I loved the atmosphere and the relaxing feel of the island but I think I'll look for another place to stay and just dive with 7seas."
"Lombok","7SEAS Cottages","3","Eva Y","
Hanoi, Vietnam
","The dormitory smelled really mouldy and the restaurant often run out of things but people were friendly and helpful.","Free tea and coffee at certain times were a nice add-on.The pool was nice. Wifi a bit unstable, especially for iPhones. That was a bit annoying. Pool looked nice.Restaurant area and cottages were nice too.Some more flowers would be great"
"Lombok","7SEAS Cottages","3","Rebecca B","
warrington
","Great stay!","One of our more costly backpacking places to stay but worth every penny!just 2 minutes walk from harbour friendly staff and great free breakfast at cafe infront over looking beautiful views of Lombok.nice private gated entrance to room good wifi spacious room and lovely bathroom with free toiletries nice cold aircon!close to all the main bars restaurants and great big pool"
"Lombok","7SEAS Cottages","3","Pauline P","
Montreal, Canada
","Nice holiday at 7Seas Cottages","I spent, with my friend, 5 nights at 7Seas Cottages and was very happy to be there. The staff is very nice and helpful. Good choice of breakfast. Very well located at Gili Air, easy to go everywhere on foot or bicycle. The room was clean, comfortable, air conditioning working well. I enjoy the private entrance to my room. Thank to all the staff and a special thank to Aziz.Pauline P."
"Lombok","7SEAS Cottages","3","Sam B","
","Keep your expectations LOW and youll be ok","Nothing REALLY bad but would NOT recommend. Paid £45 / USD 66 a night & expected moreROOM- Deluxe Villa - disappointed it was right on the road - photos were misleading.- large but basic - aircon was poor - very dark. - power was constantly going off (so aircon shut down, required someone to turn back on - annoying in the night!). I complained & they tried to tell me it was the govt however all their neighbours had power whilst ours was out- Bathroom nice but no shower head and hot water was very unreliableRESTAURANT:- Staff nice, but over attentive & orders delivered incorrectly- ice bucket for drinks was disgusting - never been washed.- Breakfast disappointingSERVICE:- Overall staff were nice but ineffective and poorly trained- Lack of manager on duty and the place wreaked of poor management.- Staff ignored our 'privacy' sign on the door, to delivery us an incredibly annoying letter seeking to absolve themselves from the huge party that was about to happen in the restuarant next door. Not their fault, but a poor way to handle the matter and they should respect the privacy sign- Any issue reported to the front desk was met with a blank expression, and in one or two cases just the word 'NO'Gili Air was my least favourite of the 3 islands... if you want chilled and quiet go to Meno, if you want something a bit more lively (but still pretty chilled and quiet) go to T. "
"Lombok","7SEAS Cottages","3","anthony m","
Las Vegas, Nevada
","clean with airconditioning","walking distance to everywhere. very close to pier. the bathroom was insanely huge, almost the same size as the room. its was clean, maintained, breakfast was included. book in advance, they do not have lots of rooms. gili air can fill up quickly."
"Lombok","7SEAS Cottages","3","VanskiFreddy","
Oulu, Finland
","Decent dorms and great location","The hostel was close to the restaurants, laundry, scuba activities, bike rentals, and the harbor. We really liked the pool area, it was nice to cool down as the heat was a bit too much on the island. The dorm room had good beds, but there was no AC. It was so hot inside the room that after we put on sunblock we had to stand right in front of the fans so we wouldn't just sweat it all off. I think it was hotter in the room than outside in the shades but we managed. Nevertheless we slept really well and we liked the showers. The wifi worked well and the staff was friendly :)"
"Lombok","7SEAS Cottages","3","mellychoong","
Singapore, Singapore
","Cozy cottage, great location!","Stayed here while diving with 7 Seas in December, and were allocated to a cottage near the street, dive centre and pool. So it was really convenient for us to return in between dives. Dining options along the street were plenty. Our Favourite was chill out bar with great local food, fresh bbq seafood and fish steaks, and icecream.The hotel also recommended a bike shop called Cha Cha for bike rental and it was good. Be sure to bring your own torch or charge up your smart phone for the torch light function if you're Cycling at night as it seems that dynamos on the bike don't work and there are limited street lights at night.Room was spacious, toilet was huge. Cleanliness was okay, but could have been better. There was a outdoor tap and balcony for us to wash and dry our dive gear which we appreciated.Staff at the reception were great! Friendly, helpful and very welcoming. Special kudos to Audi (not sure if I got his name right) who was very pleasant and spoke very well.Thank you for the stay!"
"Lombok","7SEAS Cottages","3","Exiless","
Tyreso, Sweden
","Standard Rooms, not bungalows?!?","I thought I would stay in Bungalows but this was just regular rooms with a nice balcony though. The cleaning wasn't perfect though. When we came to the room it was water in the bathroom. The floor doesn't lean towards the rinsing hole so there is always water near the toilet of ours. really frustrating since your pants will get wet overtime you want to go to the bathroom if you don't hold them up when you sit. The restaurant provides really great breakfast and lunch/dinner. Good variation and mostly really good food. Service was good but sometimes really slow. They would need to shape up a bit with costumer awareness. The entrance to all the rooms in the back has a view to another hotel. Next to that there was a lot of trash behind a fence, disgusting! Every monday there is a huge party on a nearby restaurants. It's impossible to sleep that day even with earplugs and I had to cancel my diving trip since I couldn't get sleep until they stopped around 4 in the morning (which i was told was earlier than its used to)"
"Lombok","7SEAS Cottages","3","ClareBear4","
Bridgend, United Kingdom
","Stayed in an ensuing room not a bungalow","This was a basic room with a nice ensuite and a balcony. Hot water was constant which isn't a rule on the island so was a bonus.I think it was expensive for what it is but I couldn't get them toco e down any further on price.My stay was ok. Location was handy. Room was cleaned daily"
