"city_name","hotel_name","hotel_rating","review_quote","review_text"
"Ciamis","Tyara Plaza Hotel","3.5 ","Basic but cozy enough","Room was cozy enough. The hotel also has a big swimming pool. However, breakfast was very limited and should be improved. No lifts but they have a porter to carry your bags. Smooth check-in/out. Close to restaurants. Wifi only in the lobby."
"Ciamis","Tyara Plaza Hotel","3.5 ","Local food at Ciamis","Stayed for 1 night. Decent room but Bring along your own bath towels and blanket. The buffet is not so good and I strongly try the local food at bubur ETOM downtown ciamis. Must try the bubur kacang ijao and the bubur ayam . The food is really Good ."
"Ciamis","Priangan Hotel","3.5 ","It's ok","Average choice to stay in Ciamis. The hotel cleaness is good. I took a vip room with my family with rate idr 490k. Staff need better training how to entertain guests. Location is good and quiet enough from traffic sounds. The swimming pool is not so good.. small size, water not so clean, pool box shape is not interesting."
"Ciamis","Aquarium Hotel","3 ","could be a better hotel","(+)1. spacious room with 2 king size bed2. big waterpark for children to play. love it :)3. wifi is good only in lobby and dining area at level 1.4. near to beach and nature park5. balcony with pool view 6. very friendly front office and reception staffs. easy to book and check in, especially with help of mr. erdiyana. thanks:)(-)1. the room is not well maintain, such a pity because it's a new building.2. the bathroom seems dark because of wall color and the lighting. but they provide hot water for shower.3. very simple breakfast buffet and the taste is not too good.4. room, bathroom n surronding area is not too clean. they need to put more effort in cleaning matter."
"Ciamis","Aquarium Hotel","3 ","Noisy","Nice big room but when i stayed there it was too noisy with a bunch of people gathering karaoke with big keyboard and speaker at late at night which make us difficult to sleep. The small waterboom is so dangerous."
"Ciamis","Aquarium Hotel","3 ","Three Star Quality Hotels","Eventhough this hotel doesnt have a star rating, but overall the quality is pretty impressive, with tqwo king size beds and the hotels provided mineral water for 4 persons (4 bottles). Perhaps the hotel may improve the quality further by provided four towels, four toothbrush, four pairs of sandals as everything should be enough for 4 persons without having to asked the front desk, as the hotel itself had provided 4 coupons for breakfast anyway. The breakfast want really good, only provided fried rice and fried egg and friend noodle and the breakfast time was not start as stated in the coupon ""6am -10am"" instead start at 7:20 am, should be more disciplined. But the hotel located in very good location, just walking distance to the beach and nearby the hotel there were lots of shops and restaurant and cafes, great choice for tourists. The hotel has swimming pools, nice AC and nice hot shower, pretty impresive hotels with good value of money"
"Ciamis","Flamboyan Hotel","4 ","a nice hotel but...","i was staying here for 1 night, and didnt get any warm welcome from the receptionist, even she say thank you she still show me a flat face. no smile at all. the room was good and the breakfast was great since it's budget hotel but they provide many choices for the food. and it's located in the center. within 5 minutes walk to mesjid Agung and another food stall nearby the hotel."
"Ciamis","Flamboyan Hotel","4 ","Nice hotel with a strategic location","I just check in to the hotel. The front office services are well. Rate of the domestic guest differ from non- domestic. The services are fast when I request an extra bed. Room is clean with hot shower running well. Quiet satisfying."
"Ciamis","Flamboyan Hotel","4 ","A All-around Good Hotel","I have a pleasant stay for few days with a well-built hotel, clean, well-sized room, hot-watered, vast choice of TV channels, nice bathroom, nice bed, nice art-works, rich variety breakfast, and good location! The Will stay again for sure!"
"Ciamis","Flamboyan Hotel","4 ","A Gem in West Java!","We recently stayed at the property and immediately was floored upon looking at the newly renovated lobby.We stayed in the 3rd floor rooms with a bunch of family members and had a lovely time.The beds are quite comfortable, with extra pillows and sheets inside the wardrobe.Bathroom is similarly new as well, with Toto fixtures and a separate cubicle for the shower, no overly soggy bathrooms here! Water pressure can be a bit weak sometimes but not to the point where it stops you from being clean.Entertainment-wise, the flatscreen TV had a lot of local and international channels. Internet is spotty, but is adequate for light-weight browsing and emails. You're better off with a modem and a prepaid SIM card for your streaming needs.Breakfast and staff are where this hotel shines! The front office staff are attentive and quick to respond to requests. Whilst the others are always polite and genial in their interaction with my family.The breakfast Buffett is stocked with local favorites like fried rice and chicken congee. For those wanting more variety, the restaurant offers freshly cooked eggs of your choice and hot waffles. Big kudos, quite possibly the onlyHotel in this side of West Java to have a continental selection alongside an Indonesian one.All I all, we had a lovely time staying in Flamboyan and will be back should we find ourselves in the area."
